datetime,open,high,low,close,volume
2022-09-06 09:00:00,49.1,51.8,46.4,46.8,395835622.2569485
2022-09-07 09:00:00,46.8,48.2,45.2,48.1,132141463.96809304
2022-09-08 09:00:00,48.1,52.3,46.7,49.7,382101590.4481835
2022-09-09 09:00:00,49.7,55.2,49.0,53.1,532081794.9204568
2022-09-10 09:00:00,53.4,53.7,51.0,52.3,199798027.1625189
2022-09-11 09:00:00,52.2,53.2,50.6,52.4,226659544.33343485
2022-09-12 09:00:00,52.5,53.2,51.1,51.9,320033319.81309044
2022-09-13 09:00:00,51.9,53.0,47.2,47.5,366451502.217316
2022-09-14 09:00:00,47.5,48.8,46.7,48.3,166364827.29004967
2022-09-15 09:00:00,48.2,48.4,45.9,46.8,137427470.63557813
2022-09-16 09:00:00,46.7,47.8,46.0,46.6,152462329.46995038
2022-09-17 09:00:00,46.6,50.3,46.5,48.5,336948564.98212296
2022-09-18 09:00:00,48.5,48.6,42.2,43.7,196274359.48682657
2022-09-19 09:00:00,43.6,44.5,41.7,44.2,141658778.02687645
2022-09-20 09:00:00,44.2,44.6,42.1,42.4,97078315.08734524
2022-09-21 09:00:00,42.4,44.8,41.1,41.7,158842897.055389
2022-09-22 09:00:00,41.7,44.1,41.6,43.4,201557537.2531413
2022-09-23 09:00:00,43.4,44.8,42.1,43.9,158922662.78909814
2022-09-24 09:00:00,43.9,44.5,43.0,43.4,66029713.37240217
2022-09-25 09:00:00,43.4,43.8,42.1,42.3,60321438.00260178
2022-09-26 09:00:00,42.3,46.2,41.9,44.1,198059339.0052561
2022-09-27 09:00:00,44.0,45.7,42.9,43.7,145078483.45092154
2022-09-28 09:00:00,43.6,44.3,41.9,43.7,65036115.64974633
2022-09-29 09:00:00,43.6,45.7,43.1,44.6,154462764.9415242
2022-09-30 09:00:00,44.5,44.8,43.3,43.8,82612196.97788695
2022-10-01 09:00:00,43.8,44.3,43.6,44.0,24042408.85101843
2022-10-02 09:00:00,44.0,44.4,43.0,43.6,42018005.00537156
2022-10-03 09:00:00,43.4,45.6,43.2,44.3,118587323.43973686
2022-10-04 09:00:00,44.1,44.9,43.6,44.5,58512894.32947006
2022-10-05 09:00:00,44.4,44.7,43.3,44.0,49222829.11618952
2022-10-06 09:00:00,44.1,44.7,43.4,44.0,45309044.53819923
2022-10-07 09:00:00,44.0,44.0,42.4,43.3,105932964.8323098
