datetime,open,high,low,close,volume
2022-09-06 09:00:00,85.7,87.4,80.9,81.7,96496496.19284444
2022-09-07 09:00:00,81.7,84.9,81.0,84.1,35239147.60339359
2022-09-08 09:00:00,84.1,85.7,82.6,85.2,45178627.38467022
2022-09-09 09:00:00,85.2,88.0,85.0,87.8,52507176.23666933
2022-09-10 09:00:00,87.8,89.0,86.6,87.7,36260438.82128184
2022-09-11 09:00:00,87.7,88.9,86.5,88.2,47467564.69764177
2022-09-12 09:00:00,88.2,102.0,86.9,101.0,619604306.0696001
2022-09-13 09:00:00,102.0,102.0,89.6,91.3,432185784.5550147
2022-09-14 09:00:00,91.3,92.0,87.3,89.9,114907869.6166145
2022-09-15 09:00:00,89.9,90.4,85.7,87.0,83516005.50192729
2022-09-16 09:00:00,86.8,87.1,84.7,85.7,41932276.21797922
2022-09-17 09:00:00,85.8,87.9,85.5,86.6,53927421.78195344
2022-09-18 09:00:00,86.6,86.7,80.2,81.3,68063259.34777778
2022-09-19 09:00:00,81.5,83.8,79.8,83.1,53636489.34136535
2022-09-20 09:00:00,83.2,83.7,80.2,81.6,39676884.87266747
2022-09-21 09:00:00,81.4,85.3,80.1,81.4,57351699.45182696
2022-09-22 09:00:00,81.4,85.7,81.2,85.2,50830017.6105225
2022-09-23 09:00:00,85.3,89.2,84.8,87.6,97215532.88692646
2022-09-24 09:00:00,87.5,93.7,87.0,88.1,113496886.1799986
2022-09-25 09:00:00,88.1,89.4,84.6,84.9,52808874.9390677
2022-09-26 09:00:00,85.0,89.5,83.6,86.4,115410131.299005
2022-09-27 09:00:00,86.4,87.8,83.4,83.9,67543192.15980147
2022-09-28 09:00:00,83.9,84.6,81.5,83.4,41090391.73377607
2022-09-29 09:00:00,83.6,84.3,81.7,82.8,39376935.24169725
2022-09-30 09:00:00,82.9,83.7,82.0,82.6,32270290.54133158
2022-10-01 09:00:00,82.7,83.6,82.2,83.1,16442285.01545435
2022-10-02 09:00:00,83.2,84.0,81.3,81.9,26926687.40091137
2022-10-03 09:00:00,82.0,83.6,81.3,83.2,22387672.94062511
2022-10-04 09:00:00,83.4,84.4,82.7,83.5,34266464.72169776
2022-10-05 09:00:00,83.5,83.5,81.2,82.5,50335520.16394007
2022-10-06 09:00:00,82.5,83.5,81.9,82.6,46872566.50211095
2022-10-07 09:00:00,82.6,87.0,82.1,86.0,158105985.73279202
2022-10-08 09:00:00,86.1,86.7,84.5,86.2,36648377.88311645
2022-10-09 09:00:00,86.2,87.4,84.9,85.5,28313724.86069684
2022-10-10 09:00:00,85.4,87.0,83.3,83.3,45526054.62024694
2022-10-11 09:00:00,83.4,91.7,81.9,87.6,446031429.5012515
2022-10-12 09:00:00,87.4,97.4,86.9,94.1,1011177709.9654316
2022-10-13 09:00:00,94.1,97.3,83.7,93.3,826491687.0311109
2022-10-14 09:00:00,93.2,94.2,87.4,88.7,260176967.6089096
2022-10-15 09:00:00,88.7,91.2,86.7,87.2,128675562.60349654
2022-10-16 09:00:00,87.2,88.7,86.0,88.3,81690654.03051385
2022-10-17 09:00:00,88.3,89.8,86.4,89.4,73890921.55853006
2022-10-18 09:00:00,89.4,92.9,87.6,89.3,183606195.9761741
2022-10-19 09:00:00,89.6,90.9,84.7,85.8,85993042.74925232
2022-10-20 09:00:00,85.8,86.4,82.8,84.2,70817206.13753898
2022-10-21 09:00:00,84.2,86.0,81.8,85.8,50964644.97729641
2022-10-22 09:00:00,85.8,86.3,84.5,85.8,22256267.97714003
2022-10-23 09:00:00,85.8,87.1,84.2,86.7,33666188.02046358
2022-10-24 09:00:00,86.7,86.8,83.5,84.4,79000186.88249108
2022-10-25 09:00:00,84.5,86.5,83.7,85.0,47879784.50300964
2022-10-26 09:00:00,85.0,86.2,84.5,85.5,39734097.3083902
2022-10-27 09:00:00,85.5,86.7,82.9,83.1,60819738.10419972
2022-10-28 09:00:00,83.1,85.5,83.0,84.6,59141539.33626905
2022-10-29 09:00:00,84.5,87.2,84.4,85.9,55887359.9676783
2022-10-30 09:00:00,86.0,88.2,85.1,85.9,63198167.66436852
2022-10-31 09:00:00,85.9,86.3,84.3,85.2,57777697.34942573
2022-11-01 09:00:00,85.2,85.8,84.5,85.3,37377053.43037761
2022-11-02 09:00:00,85.3,85.3,81.5,83.4,77598911.24915387
2022-11-03 09:00:00,83.6,87.1,83.2,85.1,69741449.85778345
2022-11-04 09:00:00,85.1,88.7,84.3,88.0,91067319.68759558
2022-11-05 09:00:00,88.0,89.4,86.2,87.1,77546590.32618216
