datetime,open,high,low,close,volume
2022-09-06 09:00:00,33.8,34.6,31.9,32.2,235826352.1091612
2022-09-07 09:00:00,32.2,33.4,31.8,33.2,84824451.0759876
2022-09-08 09:00:00,33.2,34.0,32.8,33.8,134967208.21778244
2022-09-09 09:00:00,33.8,35.5,33.7,35.3,170309828.98990065
2022-09-10 09:00:00,35.3,35.8,34.9,35.3,123933284.34723464
2022-09-11 09:00:00,35.4,35.8,34.8,35.4,111060134.56829564
2022-09-12 09:00:00,35.4,36.3,34.9,35.4,233457613.73343548
2022-09-13 09:00:00,35.3,35.4,32.8,33.1,334177831.8449931
2022-09-14 09:00:00,33.1,33.9,32.8,33.6,126420434.32049868
2022-09-15 09:00:00,33.6,33.9,32.6,33.1,158182728.61874512
2022-09-16 09:00:00,33.1,33.2,32.4,32.9,106242246.16405308
2022-09-17 09:00:00,33.0,34.2,32.9,34.1,78288074.27750014
2022-09-18 09:00:00,34.0,34.2,31.5,31.9,174643631.41167423
2022-09-19 09:00:00,31.9,32.5,31.1,32.3,138203026.69535103
2022-09-20 09:00:00,32.3,32.7,31.6,32.1,85208811.4342874
2022-09-21 09:00:00,32.2,33.0,31.0,31.5,202335673.13671285
2022-09-22 09:00:00,31.5,32.8,31.4,32.5,122631261.07208872
2022-09-23 09:00:00,32.5,33.7,32.0,33.3,225483934.3195575
2022-09-24 09:00:00,33.2,34.2,32.9,33.0,106560991.50210196
2022-09-25 09:00:00,33.0,33.3,31.9,32.2,107222064.20885664
2022-09-26 09:00:00,32.3,32.8,31.6,32.7,118576070.45556244
2022-09-27 09:00:00,32.7,34.2,32.3,32.6,211758868.549776
2022-09-28 09:00:00,32.7,33.2,31.6,33.0,117142677.22701438
2022-09-29 09:00:00,33.0,33.7,32.7,33.6,84626093.45274135
2022-09-30 09:00:00,33.5,34.1,32.8,33.2,99164603.60343632
2022-10-01 09:00:00,33.2,33.9,33.1,33.6,46020064.15106605
2022-10-02 09:00:00,33.7,33.9,32.7,32.9,70527343.68099484
2022-10-03 09:00:00,32.9,34.0,32.5,33.9,75064897.71119466
2022-10-04 09:00:00,33.9,34.7,33.6,34.1,90856543.59491047
2022-10-05 09:00:00,34.1,34.2,33.3,34.1,84878258.33340861
2022-10-06 09:00:00,34.1,34.2,33.2,33.4,63675630.65106577
2022-10-07 09:00:00,33.4,33.5,32.7,33.0,89641131.90008396
2022-10-08 09:00:00,33.0,33.4,32.6,32.8,57211028.35951792
2022-10-09 09:00:00,32.8,33.2,32.7,32.9,45727222.05810289
2022-10-10 09:00:00,33.0,33.8,32.5,32.6,184876809.28020144
2022-10-11 09:00:00,32.7,32.8,31.7,32.6,91611106.69073756
2022-10-12 09:00:00,32.7,33.0,32.3,32.6,42795553.95803509
2022-10-13 09:00:00,32.6,33.7,30.7,33.0,190610081.54705244
2022-10-14 09:00:00,33.1,33.8,32.6,32.9,93726759.13024002
2022-10-15 09:00:00,32.9,33.2,32.5,33.0,39688709.35888441
2022-10-16 09:00:00,33.0,33.3,32.8,32.9,32137030.54981765
