datetime,open,high,low,close,volume
2022-12-14 13:00:00,74.5,74.6,74.2,74.6,1796326.30657909
2022-12-14 17:00:00,74.5,74.7,74.2,74.5,1254491.62383033
2022-12-14 21:00:00,74.6,75.0,74.4,74.9,1890290.95593602
2022-12-15 01:00:00,74.9,75.3,73.2,73.8,3237457.99257877
2022-12-15 05:00:00,73.9,74.2,73.4,73.6,1916684.92388686
2022-12-15 09:00:00,73.7,76.6,72.9,73.3,30617637.03170399
2022-12-15 13:00:00,73.2,73.4,72.9,73.2,2097197.98282126
2022-12-15 17:00:00,73.2,73.6,72.7,73.6,3407929.00762716
2022-12-15 21:00:00,73.5,74.0,72.9,73.0,2955344.28090985
2022-12-16 01:00:00,73.0,73.4,72.9,73.1,476774.8858725
2022-12-16 05:00:00,73.1,73.3,72.7,73.0,1848220.01789666
2022-12-16 09:00:00,73.0,73.1,72.7,72.8,2523328.03413345
2022-12-16 13:00:00,72.7,72.8,71.9,72.8,3447184.86087869
2022-12-16 17:00:00,72.7,72.9,69.1,70.3,9551973.79280751
2022-12-16 21:00:00,70.0,70.5,69.4,69.9,2204535.86702172
2022-12-17 01:00:00,69.9,69.9,69.0,69.6,2318817.79676822
2022-12-17 05:00:00,69.5,69.9,65.4,66.7,7302676.58582826
2022-12-17 09:00:00,66.6,67.8,59.9,64.0,16654010.17490324
2022-12-17 13:00:00,63.6,64.7,63.6,64.6,1694276.84742828
2022-12-17 17:00:00,64.6,64.9,64.0,64.7,1721116.59587939
2022-12-17 21:00:00,64.5,64.5,63.3,63.6,1969809.25989918
2022-12-18 01:00:00,63.6,64.1,63.6,64.0,197370.83064362
2022-12-18 05:00:00,63.8,65.2,63.8,65.1,663720.24326503
2022-12-18 09:00:00,64.8,65.2,64.4,64.4,1241275.85463959
2022-12-18 13:00:00,64.7,65.0,64.3,64.9,1381552.8885787
2022-12-18 17:00:00,64.7,65.8,63.7,64.8,4413711.85539754
2022-12-18 21:00:00,64.8,65.2,64.0,64.1,1962656.05167689
2022-12-19 01:00:00,64.0,64.9,64.0,64.5,262822.77068274
2022-12-19 05:00:00,64.5,65.0,64.4,65.0,918786.17439951
2022-12-19 09:00:00,65.0,65.1,62.1,62.5,6849065.94786328
2022-12-19 13:00:00,62.6,62.7,62.0,62.4,3167264.7577201
2022-12-19 17:00:00,62.4,66.0,62.3,62.9,10487098.23069384
2022-12-19 21:00:00,63.0,63.4,62.2,62.8,2162080.42840129
2022-12-20 01:00:00,62.6,62.8,61.7,61.8,2270883.71485658
2022-12-20 05:00:00,61.8,62.0,58.5,60.1,7963912.70532345
2022-12-20 09:00:00,60.0,61.2,58.8,60.5,5477704.94715711
2022-12-20 13:00:00,60.5,62.1,59.8,61.9,12858487.4518085
2022-12-20 17:00:00,61.8,62.0,61.5,62.0,4298980.63385681
2022-12-20 21:00:00,61.9,62.0,61.1,61.8,3057299.71568746
2022-12-21 01:00:00,61.6,62.1,61.6,61.9,1497525.80887425
